127.0.0.1 | Sat, 18 Apr 2026 10:20:39 GMT | GET index.html | 200 OK
127.0.0.1 | Sat, 18 Apr 2026 10:20:39 GMT | GET hello.txt | 200 OK
127.0.0.1 | Sat, 18 Apr 2026 10:20:39 GMT | HEAD hello.txt | 200 OK
127.0.0.1 | Sat, 18 Apr 2026 10:20:39 GMT | GET image.jpg | 200 OK
127.0.0.1 | Sat, 18 Apr 2026 10:20:40 GMT | GET notfound.txt | 404 File Not Found
127.0.0.1 | Sat, 18 Apr 2026 10:20:40 GMT | GET server.py | 403 Forbidden
127.0.0.1 | Sat, 18 Apr 2026 10:20:40 GMT | INVALID - | 400 Bad Request
127.0.0.1 | Sat, 18 Apr 2026 10:20:40 GMT | GET hello.txt | 304 Not Modified
127.0.0.1 | Sat, 18 Apr 2026 10:20:40 GMT | GET hello.txt | 200 OK
127.0.0.1 | Sat, 18 Apr 2026 10:20:41 GMT | GET hello.txt | 200 OK
127.0.0.1 | Sat, 18 Apr 2026 10:20:41 GMT | GET hello.txt | 200 OK
127.0.0.1 | Sat, 18 Apr 2026 10:20:41 GMT | GET hello.txt | 200 OK
